sample_index,snr_db,velocity_kmh,mmse_ber,mmse_ser,mmse_nmse,oamp_dl_ber,oamp_dl_ser,oamp_dl_nmse
69,15,120,0.21739130434782608,0.38858695652173914,0.7102374284008175,0.22146739130434784,0.3967391304347826,0.6118959593494048
70,15,120,0.01358695652173913,0.02717391304347826,0.1846594379369354,0.01358695652173913,0.02717391304347826,0.05813911987302545
71,15,120,0.019021739130434784,0.03804347826086957,0.1990155303453998,0.004076086956521739,0.008152173913043478,0.013276497263186693
72,15,120,0.08016304347826086,0.15217391304347827,0.4324119766606827,0.05570652173913043,0.11141304347826086,0.1822074166037741
73,15,120,0.07608695652173914,0.14673913043478262,0.5332943939394308,0.01358695652173913,0.02717391304347826,0.03745415523761553
74,15,120,0.04891304347826087,0.09782608695652174,0.2641822411504286,0.020380434782608696,0.04076086956521739,0.06676605264012543
75,20,120,0.04891304347826087,0.09510869565217392,0.3397787718346906,0.002717391304347826,0.005434782608695652,0.016435735817470244
76,20,120,0.014945652173913044,0.029891304347826088,0.16202677582474365,0.010869565217391304,0.021739130434782608,0.03097716696090661
77,20,120,0.025815217391304348,0.051630434782608696,0.24638326202665123,0.005434782608695652,0.010869565217391304,0.020189685097942684
78,20,120,0.051630434782608696,0.10054347826086957,0.3572638936255955,0.008152173913043478,0.016304347826086956,0.02533362154070357
79,20,120,0.051630434782608696,0.10326086956521739,0.3664036513569409,0.028532608695652172,0.05434782608695652,0.07517781307990036
80,20,120,0.03940217391304348,0.07608695652173914,0.357654204507541,0.006793478260869565,0.01358695652173913,0.02341718562790983
81,20,120,0.06929347826086957,0.125,0.3872135090989676,0.014945652173913044,0.02717391304347826,0.06081003409356502
82,20,120,0.10869565217391304,0.1983695652173913,0.5419750699100487,0.04076086956521739,0.07880434782608696,0.1280002274740444
83,20,120,0.07880434782608696,0.14673913043478262,0.5224137448694918,0.006793478260869565,0.01358695652173913,0.017407913791870896
84,20,120,0.028532608695652172,0.05434782608695652,0.22834651714237528,0.0,0.0,0.0010198772602476643
85,20,120,0.15081521739130435,0.27717391304347827,0.9401785308517955,0.010869565217391304,0.019021739130434784,0.026686357767094035
86,20,120,0.043478260869565216,0.08695652173913043,0.28771055835313136,0.002717391304347826,0.005434782608695652,0.008489935336111466
87,20,120,0.057065217391304345,0.10597826086956522,0.3463701168730054,0.017663043478260868,0.03260869565217391,0.049747115166888574
88,20,120,0.06657608695652174,0.11956521739130435,0.3800812501864272,0.008152173913043478,0.016304347826086956,0.03124634181676617
89,20,120,0.12907608695652173,0.2418478260869565,0.9208236709157992,0.03125,0.0625,0.10225119510199242
90,10,500,0.07472826086956522,0.14673913043478262,0.3139785214210196,0.010869565217391304,0.021739130434782608,0.028170998989271296
91,10,500,0.012228260869565218,0.024456521739130436,0.1836358963057035,0.0,0.0,0.005835137845339004
92,10,500,0.08559782608695653,0.15489130434782608,0.37714130324809253,0.06929347826086957,0.1331521739130435,0.19729798783280295
93,10,500,0.10461956521739131,0.19021739130434784,0.4419943279215752,0.07744565217391304,0.14945652173913043,0.239125674489311
94,10,500,0.03125,0.0625,0.23332916384920901,0.021739130434782608,0.043478260869565216,0.0664052502088649
95,10,500,0.025815217391304348,0.04891304347826087,0.21154353104992413,0.012228260869565218,0.024456521739130436,0.03730645781042153
96,10,500,0.058423913043478264,0.11684782608695653,0.3404457132781306,0.02309782608695652,0.04619565217391304,0.06430691611192813
97,10,500,0.06793478260869565,0.13043478260869565,0.34296580779198493,0.050271739130434784,0.09782608695652174,0.1482785848041706
98,10,500,0.07608695652173914,0.14945652173913043,0.37463698055248384,0.05298913043478261,0.10597826086956522,0.15672086938224541
99,10,500,0.11277173913043478,0.20923913043478262,0.48529195903153877,0.08288043478260869,0.16304347826086957,0.2810330523438134
100,10,500,0.11820652173913043,0.22554347826086957,0.42634474586099297,0.12364130434782608,0.23641304347826086,0.3714906120272598
101,10,500,0.10597826086956522,0.1983695652173913,0.4215364720907198,0.08288043478260869,0.15489130434782608,0.25958970839922857
102,10,500,0.043478260869565216,0.08423913043478261,0.25214806033712384,0.024456521739130436,0.04619565217391304,0.07790763903567732
103,10,500,0.058423913043478264,0.11413043478260869,0.27310099524836223,0.02309782608695652,0.04619565217391304,0.07504865492666365
104,10,500,0.06114130434782609,0.12228260869565218,0.30298317227051463,0.043478260869565216,0.08423913043478261,0.12625899048457828
105,15,500,0.10461956521739131,0.20380434782608695,0.43263222494661924,0.059782608695652176,0.11684782608695653,0.18019788336165493
106,15,500,0.025815217391304348,0.051630434782608696,0.22765330050055727,0.019021739130434784,0.03804347826086957,0.061002682248664765
107,15,500,0.09375,0.1793478260869565,0.5276076126327205,0.006793478260869565,0.01358695652173913,0.028583131848484232
108,15,500,0.06114130434782609,0.12228260869565218,0.38975612613512245,0.006793478260869565,0.01358695652173913,0.019399892980206244
109,15,500,0.021739130434782608,0.043478260869565216,0.21679874023860454,0.0,0.0,0.004161352112135465
110,15,500,0.036684782608695655,0.07336956521739131,0.2341583320632914,0.001358695652173913,0.002717391304347826,0.004538797462833929
111,15,500,0.033967391304347824,0.06521739130434782,0.24159983501400462,0.001358695652173913,0.002717391304347826,0.004979748383684147
112,15,500,0.009510869565217392,0.019021739130434784,0.18017716590181315,0.0,0.0,0.004869533108511032
113,15,500,0.057065217391304345,0.10869565217391304,0.3042361312399278,0.025815217391304348,0.051630434782608696,0.08641730678149544
114,15,500,0.08152173913043478,0.16032608695652173,0.5102857379247624,0.02717391304347826,0.051630434782608696,0.08035325483015739
115,15,500,0.16304347826086957,0.3016304347826087,0.645730346558065,0.13451086956521738,0.26358695652173914,0.39452560382965274
116,15,500,0.06657608695652174,0.12771739130434784,0.4155739424226298,0.028532608695652172,0.057065217391304345,0.09221151049807964
117,15,500,0.06114130434782609,0.12228260869565218,0.3499467703303157,0.002717391304347826,0.005434782608695652,0.015991569683304178
118,15,500,0.07472826086956522,0.14945652173913043,0.42173332162335536,0.006793478260869565,0.01358695652173913,0.017465975466839017
119,15,500,0.07608695652173914,0.14945652173913043,0.43193944485581065,0.005434782608695652,0.010869565217391304,0.016477867089554267
120,20,500,0.025815217391304348,0.051630434782608696,0.2935297624190272,0.029891304347826088,0.057065217391304345,0.09114083605904053
121,20,500,0.029891304347826088,0.059782608695652176,0.2946795794467867,0.004076086956521739,0.008152173913043478,0.015360096293687472
