sample_index,snr_db,velocity_kmh,mmse_ber,mmse_ser,mmse_nmse,oamp_ber,oamp_ser,oamp_nmse
20,15,30,0.15217391304347827,0.2826086956521739,0.5493975150311657,0.15625,0.29347826086956524,0.4959058114822174
21,15,30,0.033967391304347824,0.06793478260869565,0.276962469105839,0.03804347826086957,0.07065217391304347,0.12558262596229972
22,15,30,0.035326086956521736,0.06521739130434782,0.2808765823718825,0.03940217391304348,0.07336956521739131,0.12670035202505225
23,15,30,0.029891304347826088,0.059782608695652176,0.23535762876063268,0.035326086956521736,0.07065217391304347,0.10357428178702537
24,15,30,0.08016304347826086,0.15217391304347827,0.4219419180803777,0.07472826086956522,0.14130434782608695,0.24463674075424405
25,15,30,0.06657608695652174,0.11956521739130435,0.3422850984356501,0.07608695652173914,0.14130434782608695,0.2324101176588753
26,15,30,0.13451086956521738,0.23641304347826086,0.5839806659241591,0.1480978260869565,0.2798913043478261,0.46794988979415597
27,15,30,0.025815217391304348,0.051630434782608696,0.20278427775226612,0.024456521739130436,0.04891304347826087,0.07374617653325652
28,15,30,0.10461956521739131,0.1956521739130435,0.6174998987496176,0.12228260869565218,0.23097826086956522,0.3282951184208629
29,15,30,0.01358695652173913,0.02717391304347826,0.18442516421786317,0.012228260869565218,0.024456521739130436,0.04312531510258631
30,20,30,0.02309782608695652,0.04619565217391304,0.2322453306602915,0.02717391304347826,0.05434782608695652,0.09026705921520185
31,20,30,0.06657608695652174,0.13043478260869565,0.46385151493055055,0.07201086956521739,0.14130434782608695,0.20709640329977821
32,20,30,0.09239130434782608,0.18206521739130435,0.4698869595949845,0.09918478260869565,0.1956521739130435,0.35124084328065697
33,20,30,0.06657608695652174,0.13043478260869565,0.357847557527641,0.07608695652173914,0.14402173913043478,0.23171340452260755
34,20,30,0.03940217391304348,0.07608695652173914,0.302472667033931,0.04755434782608696,0.09239130434782608,0.1365464903921374
