sample_index,ber,ser,nmse
64.0,0.4904891304347826,0.7228260869565217,1.0002647638320923
65.0,0.5149456521739131,0.7771739130434783,1.0011892318725586
66.0,0.49592391304347827,0.7418478260869565,1.0022249221801758
67.0,0.5067934782608695,0.7690217391304348,1.0018061399459839
68.0,0.49592391304347827,0.7581521739130435,1.0026992559432983
69.0,0.5108695652173914,0.7445652173913043,1.0057039260864258
70.0,0.49728260869565216,0.7717391304347826,1.0034149885177612
71.0,0.5163043478260869,0.7663043478260869,1.0074807405471802
72.0,0.5176630434782609,0.7771739130434783,1.0082553625106812
73.0,0.4796195652173913,0.7255434782608695,1.002535104751587
74.0,0.48641304347826086,0.7146739130434783,0.9996108412742615
75.0,0.46059782608695654,0.6956521739130435,0.9960547089576721
76.0,0.5271739130434783,0.8016304347826086,1.007664680480957
77.0,0.5054347826086957,0.7554347826086957,1.0045669078826904
78.0,0.49592391304347827,0.7391304347826086,1.0055233240127563
79.0,0.5040760869565217,0.782608695652174,1.0029432773590088
80.0,0.5271739130434783,0.782608695652174,1.004919409751892
81.0,0.49592391304347827,0.7282608695652174,0.9954635500907898
82.0,0.49320652173913043,0.75,1.0013582706451416
83.0,0.5163043478260869,0.7391304347826086,1.0078589916229248
84.0,0.49728260869565216,0.7527173913043478,1.003912329673767
85.0,0.4673913043478261,0.720108695652174,1.0022602081298828
86.0,0.45516304347826086,0.6983695652173914,0.9968517422676086
87.0,0.4945652173913043,0.7391304347826086,1.0020320415496826
88.0,0.5027173913043478,0.7527173913043478,1.0024900436401367
89.0,0.5108695652173914,0.7554347826086957,1.0072472095489502
90.0,0.501358695652174,0.7554347826086957,1.002289056777954
91.0,0.5095108695652174,0.7608695652173914,1.0073777437210083
92.0,0.483695652173913,0.7364130434782609,1.0012292861938477
93.0,0.5122282608695652,0.7554347826086957,1.0108366012573242
94.0,0.5027173913043478,0.7418478260869565,1.005523443222046
95.0,0.5095108695652174,0.7635869565217391,1.0056401491165161
96.0,0.5081521739130435,0.75,1.005375623703003
97.0,0.5095108695652174,0.782608695652174,1.009069800376892
98.0,0.49592391304347827,0.7364130434782609,1.00038743019104
99.0,0.485054347826087,0.7309782608695652,1.0038766860961914
100.0,0.47690217391304346,0.75,0.9985634088516235
101.0,0.4945652173913043,0.7472826086956522,0.9969520568847656
102.0,0.5122282608695652,0.7635869565217391,0.9982742071151733
103.0,0.5040760869565217,0.7663043478260869,1.0056971311569214
104.0,0.4986413043478261,0.7364130434782609,1.0069642066955566
105.0,0.4986413043478261,0.7364130434782609,1.0040987730026245
106.0,0.5176630434782609,0.7554347826086957,1.0071340799331665
107.0,0.5135869565217391,0.7934782608695652,1.0084344148635864
108.0,0.48641304347826086,0.7527173913043478,1.003416895866394
109.0,0.485054347826087,0.7581521739130435,1.001287817955017
110.0,0.4891304347826087,0.7472826086956522,1.001671552658081
111.0,0.501358695652174,0.7391304347826086,0.99875408411026
112.0,0.46875,0.6983695652173914,0.997090220451355
113.0,0.5190217391304348,0.7663043478260869,1.006673812866211
114.0,0.485054347826087,0.7445652173913043,0.9985572695732117
115.0,0.5040760869565217,0.7554347826086957,1.0060654878616333
116.0,0.5054347826086957,0.7472826086956522,1.0114471912384033
117.0,0.4904891304347826,0.7554347826086957,1.0044561624526978
118.0,0.5217391304347826,0.7527173913043478,1.0087730884552002
119.0,0.485054347826087,0.7364130434782609,1.002145528793335
120.0,0.48233695652173914,0.717391304347826,0.9995119571685791
121.0,0.48777173913043476,0.7282608695652174,1.0033981800079346
122.0,0.49320652173913043,0.7282608695652174,1.0054209232330322
123.0,0.5217391304347826,0.7690217391304348,1.0035808086395264
124.0,0.5108695652173914,0.779891304347826,1.0027848482131958
125.0,0.485054347826087,0.7445652173913043,0.9978188872337341
126.0,0.483695652173913,0.7255434782608695,0.9999949336051941
127.0,0.5380434782608695,0.7907608695652174,1.007760763168335
128.0,0.4945652173913043,0.7554347826086957,1.0019220113754272
129.0,0.5285326086956522,0.782608695652174,1.0138639211654663
130.0,0.4891304347826087,0.7445652173913043,1.0027835369110107
131.0,0.49184782608695654,0.7282608695652174,0.9977484345436096
132.0,0.5095108695652174,0.7581521739130435,1.0041782855987549
133.0,0.483695652173913,0.717391304347826,0.9994913935661316
134.0,0.5081521739130435,0.7527173913043478,1.004613995552063
