sample_index,mmse_ber,mmse_ser,mmse_nmse,residual_ber,residual_ser,residual_nmse
101,0.10597826086956522,0.1983695652173913,0.42153647541999817,0.12364130434782608,0.23369565217391305,0.43999969959259033
102,0.043478260869565216,0.08423913043478261,0.2521480619907379,0.05570652173913043,0.10326086956521739,0.27285847067832947
103,0.058423913043478264,0.11413043478260869,0.27310100197792053,0.05570652173913043,0.10597826086956522,0.28582465648651123
104,0.06114130434782609,0.12228260869565218,0.30298319458961487,0.0625,0.12228260869565218,0.3052624464035034
105,0.10461956521739131,0.20380434782608695,0.4326322376728058,0.11413043478260869,0.21467391304347827,0.4347948133945465
106,0.025815217391304348,0.051630434782608696,0.22765329480171204,0.03940217391304348,0.07608695652173914,0.2395285665988922
107,0.09375,0.1793478260869565,0.5276076197624207,0.09646739130434782,0.18478260869565216,0.523559033870697
108,0.06114130434782609,0.12228260869565218,0.3897561728954315,0.06521739130434782,0.13043478260869565,0.39280253648757935
109,0.021739130434782608,0.043478260869565216,0.21679873764514923,0.021739130434782608,0.043478260869565216,0.2296094298362732
110,0.036684782608695655,0.07336956521739131,0.23415835201740265,0.033967391304347824,0.06793478260869565,0.24402925372123718
111,0.033967391304347824,0.06521739130434782,0.24159982800483704,0.03940217391304348,0.07608695652173914,0.2531258165836334
112,0.009510869565217392,0.019021739130434784,0.18017716705799103,0.010869565217391304,0.021739130434782608,0.1918175369501114
113,0.057065217391304345,0.10869565217391304,0.30423611402511597,0.06114130434782609,0.11413043478260869,0.3055485486984253
114,0.08152173913043478,0.16032608695652173,0.5102857351303101,0.08559782608695653,0.17119565217391305,0.49995729327201843
115,0.16304347826086957,0.3016304347826087,0.6457303762435913,0.16983695652173914,0.3179347826086957,0.6388745307922363
116,0.06657608695652174,0.12771739130434784,0.41557395458221436,0.07472826086956522,0.14402173913043478,0.41838350892066956
117,0.06114130434782609,0.12228260869565218,0.3499467670917511,0.05298913043478261,0.10326086956521739,0.3533480167388916
118,0.07472826086956522,0.14945652173913043,0.4217333495616913,0.07065217391304347,0.13858695652173914,0.41953518986701965
119,0.07608695652173914,0.14945652173913043,0.4319394528865814,0.08423913043478261,0.16847826086956522,0.4295395612716675
120,0.025815217391304348,0.051630434782608696,0.293529748916626,0.03125,0.0625,0.31148940324783325
121,0.029891304347826088,0.059782608695652176,0.2946796119213104,0.025815217391304348,0.051630434782608696,0.30250731110572815
122,0.04076086956521739,0.08152173913043478,0.30670836567878723,0.03940217391304348,0.07880434782608696,0.313963383436203
123,0.08967391304347826,0.17119565217391305,0.47256556153297424,0.08423913043478261,0.16032608695652173,0.4715539216995239
124,0.04483695652173913,0.08967391304347826,0.5046154856681824,0.04619565217391304,0.08967391304347826,0.5083943009376526
125,0.13451086956521738,0.24728260869565216,0.8216784000396729,0.14130434782608695,0.25815217391304346,0.8208624124526978
126,0.125,0.23641304347826086,0.6037951111793518,0.125,0.23641304347826086,0.6071771383285522
127,0.04755434782608696,0.09510869565217392,0.2506629228591919,0.04483695652173913,0.08967391304347826,0.2605566680431366
128,0.03940217391304348,0.07608695652173914,0.3055936098098755,0.04483695652173913,0.08695652173913043,0.31250420212745667
129,0.09239130434782608,0.1793478260869565,0.532290518283844,0.09918478260869565,0.1875,0.5256757140159607
130,0.005434782608695652,0.010869565217391304,0.12182652205228806,0.004076086956521739,0.008152173913043478,0.1310361921787262
131,0.08152173913043478,0.16304347826086957,0.4830576777458191,0.08559782608695653,0.16847826086956522,0.47926846146583557
132,0.002717391304347826,0.005434782608695652,0.11555149406194687,0.001358695652173913,0.002717391304347826,0.12416450679302216
133,0.059782608695652176,0.11684782608695653,0.3954320251941681,0.07201086956521739,0.13858695652173914,0.4126328229904175
134,0.001358695652173913,0.002717391304347826,0.10776965320110321,0.006793478260869565,0.01358695652173913,0.12690187990665436
