sample_index,mmse_ber,mmse_ser,mmse_nmse,informed_ber,informed_ser,informed_nmse
66,0.04076086956521739,0.07608695652173914,0.2855125937741219,0.042119565217391304,0.07880434782608696,0.2896580764690187
67,0.07065217391304347,0.13858695652173914,0.33912474216217203,0.07472826086956522,0.14673913043478262,0.3412630203048353
68,0.059782608695652176,0.11956521739130435,0.3573995646340267,0.0625,0.125,0.36107860061536456
69,0.21739130434782608,0.38858695652173914,0.7102374284008175,0.21467391304347827,0.38315217391304346,0.7078404275642566
70,0.01358695652173913,0.02717391304347826,0.1846594379369354,0.017663043478260868,0.035326086956521736,0.18650181037667055
71,0.019021739130434784,0.03804347826086957,0.1990155303453998,0.020380434782608696,0.04076086956521739,0.20086901269310928
72,0.08016304347826086,0.15217391304347827,0.4324119766606827,0.07880434782608696,0.14945652173913043,0.42915539528470836
73,0.07608695652173914,0.14673913043478262,0.5332943939394308,0.08016304347826086,0.15489130434782608,0.5309290815053734
74,0.04891304347826087,0.09782608695652174,0.2641822411504286,0.04755434782608696,0.09510869565217392,0.2672965318573101
75,0.04891304347826087,0.09510869565217392,0.3397787718346906,0.04619565217391304,0.08967391304347826,0.34038454079169156
76,0.014945652173913044,0.029891304347826088,0.16202677582474365,0.014945652173913044,0.029891304347826088,0.16312989526883984
77,0.025815217391304348,0.051630434782608696,0.24638326202665123,0.028532608695652172,0.057065217391304345,0.25318450701366907
78,0.051630434782608696,0.10054347826086957,0.3572638936255955,0.050271739130434784,0.09510869565217392,0.357277752115948
79,0.051630434782608696,0.10326086956521739,0.3664036513569409,0.04483695652173913,0.08967391304347826,0.3702346029799654
80,0.03940217391304348,0.07608695652173914,0.357654204507541,0.04076086956521739,0.07608695652173914,0.36360147740968907
81,0.06929347826086957,0.125,0.3872135090989676,0.06793478260869565,0.12228260869565218,0.38689345894750127
82,0.10869565217391304,0.1983695652173913,0.5419750699100487,0.10869565217391304,0.20108695652173914,0.5444825230742179
83,0.07880434782608696,0.14673913043478262,0.5224137448694918,0.08423913043478261,0.15489130434782608,0.5291098533851626
84,0.028532608695652172,0.05434782608695652,0.22834651714237528,0.029891304347826088,0.057065217391304345,0.22708148973433873
85,0.15081521739130435,0.27717391304347827,0.9401785308517955,0.15081521739130435,0.27445652173913043,0.9426675214082598
86,0.043478260869565216,0.08695652173913043,0.28771055835313136,0.043478260869565216,0.08695652173913043,0.29392635383029647
87,0.057065217391304345,0.10597826086956522,0.3463701168730054,0.05434782608695652,0.10597826086956522,0.3413914306727757
88,0.06657608695652174,0.11956521739130435,0.3800812501864272,0.06385869565217392,0.11684782608695653,0.38407082365974
89,0.12907608695652173,0.2418478260869565,0.9208236709157992,0.12771739130434784,0.2391304347826087,0.9226952928565891
90,0.07472826086956522,0.14673913043478262,0.3139785214210196,0.07201086956521739,0.14130434782608695,0.3125934981427828
91,0.012228260869565218,0.024456521739130436,0.1836358963057035,0.01358695652173913,0.02717391304347826,0.18383877850629285
92,0.08559782608695653,0.15489130434782608,0.37714130324809253,0.08559782608695653,0.15489130434782608,0.3789253917008369
93,0.10461956521739131,0.19021739130434784,0.4419943279215752,0.10326086956521739,0.1875,0.44757837180106597
94,0.03125,0.0625,0.23332916384920901,0.036684782608695655,0.07065217391304347,0.23678471457330752
95,0.025815217391304348,0.04891304347826087,0.21154353104992413,0.021739130434782608,0.04076086956521739,0.21313892800546502
96,0.058423913043478264,0.11684782608695653,0.3404457132781306,0.059782608695652176,0.11684782608695653,0.3439411346241398
97,0.06793478260869565,0.13043478260869565,0.34296580779198493,0.07065217391304347,0.1358695652173913,0.3484969379291546
98,0.07608695652173914,0.14945652173913043,0.37463698055248384,0.07608695652173914,0.14945652173913043,0.37611544668540686
99,0.11277173913043478,0.20923913043478262,0.48529195903153877,0.11413043478260869,0.21467391304347827,0.4879258144414454
100,0.11820652173913043,0.22554347826086957,0.42634474586099297,0.11684782608695653,0.22282608695652173,0.4250878080539728
101,0.10597826086956522,0.1983695652173913,0.4215364720907198,0.10733695652173914,0.20108695652173914,0.4223962011376493
102,0.043478260869565216,0.08423913043478261,0.25214806033712384,0.04891304347826087,0.09510869565217392,0.25399927206020934
103,0.058423913043478264,0.11413043478260869,0.27310099524836223,0.05434782608695652,0.10869565217391304,0.27712505048189084
104,0.06114130434782609,0.12228260869565218,0.30298317227051463,0.0625,0.12228260869565218,0.30058143983340024
105,0.10461956521739131,0.20380434782608695,0.43263222494661924,0.10461956521739131,0.20380434782608695,0.4283914369619666
106,0.025815217391304348,0.051630434782608696,0.22765330050055727,0.02717391304347826,0.05434782608695652,0.22972580548941285
107,0.09375,0.1793478260869565,0.5276076126327205,0.08831521739130435,0.17119565217391305,0.5235723612998002
108,0.06114130434782609,0.12228260869565218,0.38975612613512245,0.0625,0.12228260869565218,0.3922167562764132
109,0.021739130434782608,0.043478260869565216,0.21679874023860454,0.021739130434782608,0.043478260869565216,0.21965111890663822
110,0.036684782608695655,0.07336956521739131,0.2341583320632914,0.03125,0.0625,0.23218698037246008
111,0.033967391304347824,0.06521739130434782,0.24159983501400462,0.03260869565217391,0.0625,0.2453717407272264
112,0.009510869565217392,0.019021739130434784,0.18017716590181315,0.012228260869565218,0.024456521739130436,0.18167884365059897
113,0.057065217391304345,0.10869565217391304,0.3042361312399278,0.058423913043478264,0.11141304347826086,0.306471828088043
114,0.08152173913043478,0.16032608695652173,0.5102857379247624,0.08152173913043478,0.16032608695652173,0.5096745775898551
